timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
16637711451,308,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637737460,309,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637782751,310,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637824108,311,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637835220,312,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637882767,313,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637902679,314,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637938996,315,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16637952403,316,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638027570,317,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638064219,318,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638076526,319,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638088680,320,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638112504,321,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638145171,322,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638186531,323,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638211525,324,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638247446,325,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638287768,326,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638307444,327,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638385102,328,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638400235,329,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638420035,330,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638433799,331,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638482459,332,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638501569,333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638532907,334,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638565154,335,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16638583798,336,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
