timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10,EEG-ch11,EEG-ch12,EEG-ch13,EEG-ch14,EEG-ch15,EEG-ch16
16623426516,137,3,0,-43018.7096020591,-48969.8084411918,91434.5958130833,-23861.1211591194,-63099.6680538014,-6975.1687068420,102070.0267428090,-74035.3977411174,-43842.8033724833,-11336.2659313335,-36288.6713154121,-67950.7462616561,98450.2099441647,16250.4823180024,-3694.6724694990,102070.0267428090
16623426516,137,3,0,-75338.5215677640,-78208.0903480025,87541.5412145830,-23800.7815505744,-62271.9969805113,-6908.0638588634,100987.0652224767,-72380.1164330212,-43779.2393242803,-11248.3178186973,-36200.7718735632,-57591.0596773318,98869.4722735928,12604.6388158538,-3571.5110422572,102070.0267428090
16623426516,137,3,0,-36835.9743185080,-39306.9050154333,96488.7528809128,-23747.2923553407,-62085.0281511299,-6861.9847909950,102070.0267428090,-71875.2300210500,-43686.6309837608,-11093.1188457207,-36071.4170886385,-53707.0213421773,102070.0267428090,77237.0351353508,-3415.5455043808,102070.0267428090
16623426516,137,3,0,28336.5582306561,20897.0945484443,101699.5812130345,-23798.4331850876,-64128.3859816971,-6921.9350332416,102070.0267428090,-75650.1484510964,-43740.1688497818,-11171.2719624145,-36146.4066041583,-75446.0961753756,102070.0267428090,92609.6911337589,-3527.6586629073,102070.0267428090
16623426516,137,3,0,-31804.7046884025,-38859.5353063442,94806.7513105934,-23827.8181729150,-63437.3216406381,-6947.0126563937,102070.0267428090,-74539.4445820077,-43794.4002745216,-11277.7271419184,-36231.6048173125,-70068.1931981781,102070.0267428090,52539.2266395955,-3641.7916591065,102070.0267428090
16623426516,137,3,0,-75302.9188868601,-77650.4691380007,85993.7250048270,-23818.3638724835,-62046.9310923773,-6926.4979195502,99313.6053753270,-72058.1226719956,-43804.0005873149,-11300.5780765519,-36236.6787468877,-56353.8725997687,96943.2528603402,-5804.1860676925,-3620.4738542727,102070.0267428090
16623426516,137,3,0,-63831.6523592760,-69096.3957560202,92913.3968464595,-23764.4488078611,-62524.6470373428,-6874.2498293925,102070.0267428090,-72391.3837202792,-43715.6509406836,-11155.0037517622,-36115.5736604089,-56388.5992065014,102070.0267428090,56966.2606131706,-3473.0378718692,102070.0267428090
16623449944,138,3,0,39099.9081570815,34989.2951393870,102070.0267428090,-23777.9306159409,-63731.0863450344,-6871.4147560327,102070.0267428090,-75115.8040451169,-43740.3026944469,-11113.4267317182,-36119.0901247908,-71889.4175555456,102070.0267428090,98782.5340797929,-3478.5863416204,102070.0267428090
16623449944,138,3,0,-22420.5388614640,-30419.6800944406,96552.2560906318,-23826.2972108121,-63666.8287381124,-6936.8161264561,102070.0267428090,-74722.4832453153,-43779.3244981580,-11240.6886727893,-36203.8016300721,-70509.4060526748,102070.0267428090,79417.3403936601,-3597.6229196393,102070.0267428090
16623449944,138,3,0,-68053.7823183527,-71170.5621949430,86147.7437112118,-23857.8358809772,-62226.7453160267,-6959.8860796324,98953.3198723997,-72414.7943689666,-43841.8786275248,-11349.2731992373,-36288.5496384439,-58890.3263440856,95766.8799314981,-15529.8869767542,-3679.4506807735,100569.5428736943
16623449944,138,3,0,-70408.1343120174,-75969.4288157304,90923.3213602801,-23788.4070029055,-63009.9556251259,-6891.5036234874,102070.0267428090,-73344.8444433249,-43747.2382816359,-11193.4780091163,-36159.2556920033,-61627.1333842890,101776.6270693174,39179.1076957020,-3524.8479249412,102070.0267428090
16623449944,138,3,0,26060.5297014407,24873.7777272087,102070.0267428090,-23761.9787654060,-62891.5030965545,-6851.7030871796,102070.0267428090,-73741.1463288482,-43736.9930809110,-11051.7973473100,-36103.4059635860,-63926.6090652822,102070.0267428090,99281.2879725653,-3390.9424214048,102070.0267428090
16623449944,138,3,0,-8499.5377648201,-17567.6354990859,97913.6875204539,-23836.8222685640,-63952.6236010897,-6949.7017173916,102070.0267428090,-75154.4364825297,-43773.8855376782,-11223.2280278484,-36192.8507029314,-72844.3505699069,102070.0267428090,85105.5439752364,-3572.5331287904,102070.0267428090
16623449944,138,3,0,-54348.2833001400,-59050.7817620897,88581.3195788907,-23871.6340491744,-62737.7155764094,-6974.5724896976,100713.6084040779,-73374.6066297539,-43848.0841529045,-11350.1006026212,-36297.3712186405,-64385.8301110769,96418.4479286699,-6360.6513464961,-3697.6413875238,100509.7629792032
16623449944,138,3,0,-73166.3564986292,-76988.1813999280,89062.5763236317,-23799.4674393175,-62598.3589446962,-6896.9912547546,102070.0267428090,-72899.7622612385,-43759.6006616080,-11214.6376338914,-36175.1710394477,-60120.3466482200,100139.7068157270,24346.0403806041,-3545.5330095402,102070.0267428090
16623523153,139,3,0,-8555.5578409930,-9360.3414765592,99447.1093448684,-23752.6583096397,-62184.6207496257,-6859.3687361780,102070.0267428090,-72280.8401946428,-43686.9230084846,-11070.5842712046,-36062.0844651753,-56141.3637747560,102070.0267428090,89170.9296638400,-3389.7986579034,102070.0267428090
16623523153,139,3,0,12434.9602836579,3654.2270452596,100021.1082747938,-23826.8325894723,-64153.0864062476,-6936.1469031308,102070.0267428090,-75579.0039277726,-43758.8584321018,-11201.9467261051,-36168.7829986157,-75256.3652788155,102070.0267428090,87863.9243419068,-3556.3744274095,102070.0267428090
16623523153,139,3,0,-40046.6766468746,-46209.0188705504,92392.3273977139,-23853.2121561845,-63195.7928587027,-6956.8198200330,102070.0267428090,-74188.6133795119,-43818.4193080501,-11313.7313568175,-36261.0141405336,-68729.6248706862,99337.8677627920,24661.2567344992,-3676.8467936534,102070.0267428090
16623523153,139,3,0,-76022.3339615165,-78601.8370171929,87012.5992659929,-23817.1105997108,-62191.9578708100,-6911.4829816707,100464.0854453298,-72250.4696233727,-43784.7269555474,-11260.1569877060,-36203.1567421405,-57026.2838615982,98327.0120138324,6493.7294466486,-3581.4885536520,102070.0267428090
16623523153,139,3,0,-46491.4311138109,-49623.6883007599,95373.2184361855,-23766.7850056511,-62155.5642896125,-6870.1128124727,102070.0267428090,-71894.2602988811,-43696.4746504906,-11105.8949273848,-36078.7907129132,-53784.4687324554,102070.0267428090,70999.4600422188,-3427.2508287244,102070.0267428090
16623523153,139,3,0,32749.1613157992,26140.5323080516,102070.0267428090,-23811.5256268691,-64077.8778721850,-6918.1630472265,102070.0267428090,-75579.2229463154,-43738.5748814980,-11149.3336050427,-36132.4989266897,-74924.7590372999,102070.0267428090,94052.0255797568,-3512.6437250278,102070.0267428090
16623523153,139,3,0,-29228.4382400810,-36495.5829998862,95444.4968041743,-23844.3175698069,-63520.0619790341,-6951.0523317389,102070.0267428090,-74614.3489236498,-43791.1149963795,-11253.2457359106,-36216.5290409489,-70251.3413707570,102070.0267428090,60552.2147115566,-3621.4472700186,102070.0267428090
16623523153,139,3,0,-74335.7208341012,-76721.3073055104,85766.8339621696,-23850.4865920961,-62075.0749751288,-6949.2636803059,98989.0807333623,-72091.0971303858,-43822.7753435128,-11303.1697959751,-36247.8851956616,-56636.7715509021,96452.5661505614,-10970.7726541660,-3621.6297854709,101675.9028750171
16623526498,140,3,0,-67502.0381059164,-73193.5878041190,92215.0805580941,-23792.8968830331,-62712.2972577462,-6895.7258142850,102070.0267428090,-72669.6589466199,-43735.3139387494,-11157.1817694935,-36126.9139538479,-57790.3908866853,102070.0267428090,50867.8474686025,-3466.9905265482,102070.0267428090
16623526498,140,3,0,38069.1582238164,34792.7259972123,102070.0267428090,-23791.5706040794,-63566.6520901691,-6874.9920588987,102070.0267428090,-74845.7906849190,-43753.8210056171,-11087.2905189425,-36114.8435985996,-70135.2858784598,102070.0267428090,99166.7412746741,-3436.1697504956,102070.0267428090
16623526498,140,3,0,-20551.8483187902,-28992.5796048650,96733.6764502618,-23843.1373032151,-63747.0868663565,-6951.4051949468,102070.0267428090,-74795.0635568641,-43782.2934161828,-11228.1437773649,-36196.3793350101,-70905.2699011124,102070.0267428090,80560.6293548406,-3563.7480516842,102070.0267428090
16623526498,140,3,0,-65357.1530130587,-68864.9296593573,86455.6959501036,-23868.4461126068,-62343.5552055270,-6967.6977409927,99094.4286524554,-72613.6145350534,-43847.8407989680,-11347.7765725281,-36291.3968795005,-60069.0841415049,95636.6855754927,-16774.6058586507,-3666.0297111778,100261.4202870469
