timestamp,sequence,battery,flags,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6,IMU_B-ch7,IMU_B-ch8,IMU_B-ch9
16620016038,27,-2,0,8.3309570313,0.8541503906,-5.3593750000,-1.5243902439,-1.8902439024,0.6402439024,130.7973840523,-55.1988960221,-25.1994960101
16620082502,28,-2,0,8.2208984375,1.0024902344,-5.2875976563,-0.3963414634,-0.5182926829,0.7926829268,130.7973840523,-55.1988960221,-25.1994960101
16620099842,29,-2,0,8.2448242188,0.9426757813,-5.2875976563,-1.3109756098,-0.3963414634,0.8536585366,130.7973840523,-56.3988720226,-25.1994960101
16620114771,30,-2,0,8.2280761719,0.9331054688,-5.2875976563,-1.4939024390,-0.2743902439,0.9451219512,130.7973840523,-56.3988720226,-25.1994960101
16620139976,31,3,0,8.2232910156,0.9091796875,-5.2852050781,-1.6158536585,-0.3963414634,0.6402439024,130.7973840523,-56.3988720226,-25.1994960101
16620149996,32,3,0,8.2496093750,0.8637207031,-5.3187011719,-1.5853658537,-0.4573170732,0.3048780488,130.7973840523,-56.3988720226,-25.1994960101
16620183937,33,3,0,8.2496093750,0.8972167969,-5.2804199219,-0.8536585366,-0.0914634146,-0.0304878049,128.9974200516,-59.3988120238,-26.9994600108
16620210546,34,3,0,8.2591796875,0.9426757813,-5.3474121094,-0.3963414634,0.0609756098,-0.0304878049,128.9974200516,-59.3988120238,-26.9994600108
16620226188,35,3,0,8.1826171875,0.9833496094,-5.3043457031,-0.1219512195,0.1524390244,0.1219512195,128.9974200516,-59.3988120238,-26.9994600108
16620263817,36,3,0,8.2304687500,0.9474609375,-5.3617675781,-0.8231707317,-0.1524390244,0.0914634146,128.9974200516,-59.3988120238,-26.9994600108
16620286521,37,3,0,8.2256835938,0.9761718750,-5.2995605469,-0.7621951220,0.1219512195,0.5182926829,131.3973720526,-60.5987880242,-26.9994600108
16620321260,38,3,0,8.2065429688,0.9522460938,-5.3282714844,-1.4024390244,0.1524390244,0.6402439024,131.3973720526,-60.5987880242,-26.9994600108
16620378521,39,3,0,8.1874023438,0.9067871094,-5.3474121094,-1.7378048780,0.2743902439,0.7926829268,131.3973720526,-60.5987880242,-26.9994600108
16620397563,40,3,0,8.2400390625,0.9426757813,-5.3785156250,-1.7073170732,0.2134146341,0.3658536585,131.3973720526,-60.5987880242,-26.9994600108
16620436257,41,3,0,8.2352539063,0.9618164063,-5.3330566406,-2.0426829268,0.5182926829,0.0914634146,132.5973480530,-55.7988840223,-26.9994600108
16620461455,42,3,0,8.1874023438,0.9642089844,-5.3258789063,-2.3170731707,0.9451219512,0.1524390244,132.5973480530,-55.7988840223,-26.9994600108
16620466153,43,3,0,8.1874023438,0.9642089844,-5.3258789063,-2.3170731707,0.9451219512,0.1524390244,132.5973480530,-55.7988840223,-26.9994600108
16620522696,44,3,0,8.2065429688,0.9402832031,-5.3258789063,-2.3170731707,0.5487804878,0.4268292683,132.5973480530,-55.7988840223,-26.9994600108
16620561600,45,3,0,8.2232910156,0.9666015625,-5.3139160156,-2.1951219512,0.3963414634,0.5182926829,130.1973960521,-60.5987880242,-24.5995080098
16620577322,46,3,0,8.2448242188,0.9378906250,-5.2875976563,-2.2560975610,0.4573170732,0.4268292683,130.1973960521,-60.5987880242,-24.5995080098
16620625056,47,3,0,8.2328613281,0.9402832031,-5.2971679688,-1.7987804878,0.4573170732,0.3658536585,130.1973960521,-60.5987880242,-24.5995080098
16620639087,48,3,0,8.2161132813,0.9522460938,-5.2708496094,-1.4329268293,0.2743902439,0.4268292683,130.1973960521,-60.5987880242,-24.5995080098
16620663975,49,3,0,8.2639648438,0.9594238281,-5.2923828125,-1.2500000000,0.1829268293,0.3048780488,129.5974080518,-61.1987760245,-22.7995440091
16620721467,50,3,0,8.2376464844,0.9618164063,-5.2756347656,-1.2500000000,0.3658536585,0.2439024390,129.5974080518,-61.1987760245,-22.7995440091
